"SERIAL","SKU","GRADE","SCAN DATE","SKID ID","EID",
"MXL9440QZ5","REC-800G4-M-I5","","2022-10-11 15:32:01","RN-10748-1","519",
"MXL9440QZ2","REC-800G4-M-I5","","2022-10-11 15:32:01","RN-10748-1","519",
"MXL9440XPJ","REC-800G4-M-I5","","2022-10-11 15:32:01","RN-10748-1","519",
"MXL9440PYG","REC-800G4-M-I5","","2022-10-11 15:32:01","RN-10748-1","519",
"MXL9440R0K","REC-800G4-M-I5","","2022-10-11 15:32:01","RN-10748-1","519",
"MXL9440R18","REC-800G4-M-I5","","2022-10-11 15:32:01","RN-10748-1","519",
"MXL9440XM0","REC-800G4-M-I5","","2022-10-11 15:32:01","RN-10748-1","519",
"HM68PY2","REC-3060-M-I5","","2022-10-11 15:33:22","RN-10748-1","519",
"CZXQY23","REC-5070-M-I5","","2022-10-11 15:33:45","RN-10748-1","519",
"4LVQS13","REC-5070-M-I5","","2022-10-11 15:33:45","RN-10748-1","519",
"BLLDZ23","REC-5070-M-I5","","2022-10-11 15:33:45","RN-10748-1","519",
"76J8H13","REC-5070-M-I5","","2022-10-11 15:33:45","RN-10748-1","519",
"471QG13","REC-7070-M-I5","","2022-10-11 15:34:14","RN-10748-1","519",
"9BZQD33","REC-7070-M-I5","","2022-10-11 15:34:14","RN-10748-1","519",
"9BZR333","REC-7070-M-I5","","2022-10-11 15:34:14","RN-10748-1","519",
"9C2T333","REC-7070-M-I5","","2022-10-11 15:34:14","RN-10748-1","519",
"9C1S333","REC-7070-M-I5","","2022-10-11 15:34:14","RN-10748-1","519",
"9C2RD33","REC-7070-M-I5","","2022-10-11 15:34:14","RN-10748-1","519",
"472F613","REC-7070-M-I5","","2022-10-11 15:34:14","RN-10748-1","519",
"1S10RRS3NF00MJ09GR0G","REC-M920Q-M-I5","","2022-10-11 15:34:42","RN-10748-1","519",
"1S10RRS3NF00MJ09GR3A","REC-M920Q-M-I5","","2022-10-11 15:34:42","RN-10748-1","519",
